filename,exertion,task
d01_P01_6_0_clip_3.wav,2,3
d01_P01_7_0_clip_1.wav,3,1
d01_P01_7_0_clip_3.wav,3,3
d02_P02_6_0_clip_3.wav,2,3
d02_P02_7_0_clip_1_first.wav,2,1
d02_P02_7_0_clip_3.wav,2,3
d02_P02_8_0_clip_1_first.wav,3,1
d02_P02_8_0_clip_3.wav,3,3
d02_P02_9_0_clip_1.wav,4,1
d02_P07_7_0_clip_1_first.wav,3,1
d02_P07_7_0_clip_3_first.wav,3,3
d02_P07_8_0_clip_1.wav,4,1
d02_P07_8_0_clip_3_first.wav,4,3
d03_P03_7_0_clip_3.wav,1,3
d03_P03_7_1_clip_1_first.wav,1,1
d03_P03_8_0_clip_1_first.wav,2,1
d03_P03_9_1_clip_1_first.wav,3,1
d03_P03_9_1_clip_3.wav,3,3
d03_P05_5_0_clip_1_first.wav,2,1
d03_P05_5_0_clip_3.wav,2,3
d03_P05_5_2_clip_1_first.wav,2,1
d03_P05_6_0_clip_1.wav,2,1
d03_P05_6_1_clip_1_first.wav,2,1
d03_P05_7_0_clip_1_first.wav,3,1
d03_P34_7_0_clip_1.wav,2,1
d03_P34_8_0_clip_1.wav,3,1
d03_P34_8_1_clip_1.wav,3,1
d03_P45_6_1_clip_1.wav,1,1
d04_P01_7_0_clip_1.wav,2,1
d04_P01_7_0_clip_3.wav,2,3
d04_P01_8_0_clip_1.wav,3,1
d04_P01_8_0_clip_3.wav,3,3
d04_P04_6_0_clip_1_first.wav,2,1
d04_P04_7_0_clip_1_first.wav,3,1
d04_P04_7_0_clip_3.wav,3,3
d04_P16_7_0_clip_1.wav,3,1
d04_P16_7_1_clip_1.wav,3,1
d06_P08_6_0_clip_1_first.wav,1,1
d06_P08_7_0_clip_1.wav,2,1
d06_P09_6_0_clip_3.wav,2,3
d06_P09_6_1_clip_1.wav,2,1
d06_P09_6_1_clip_3.wav,2,3
d06_P09_7_0_clip_1.wav,2,1
d06_P09_7_0_clip_3.wav,2,3
d06_P09_7_1_clip_1.wav,2,1
d06_P12_6_1_clip_1.wav,3,1
d06_P12_6_1_clip_3.wav,3,3
d06_P12_7_0_clip_1.wav,4,1
d06_P14_6_0_clip_1_first.wav,3,1
d06_P14_7_1_clip_1_first.wav,4,1
d07_P10_8_0_clip_3_first.wav,4,3
d07_P10_8_1_clip_1_first.wav,4,1
d07_P10_8_2_clip_1_first.wav,4,1
d07_P10_8_2_clip_3.wav,4,3
